,first-author,first-author-gender,first-author-affiliation,last-author,last-author-gender,last-author-affiliation,title
0,Randall Balestriero,Male,Rice University,Richard Baraniuk,Male,OpenStax / Rice University,Spline Filters For End-to-End Deep Learning
1,Aditya Gilra,Male,University of Bonn,Wulfram Gerstner,Male,EPFL,Non-linear motor control by local learning in spiking neural networks
2,Will Dabney,Male,DeepMind,Remi Munos,Male,DeepMind,Implicit Quantile Networks for Distributional Reinforcement Learning
3,Matthew Smith,Male,McGill University,Joelle Pineau,Female,McGill University / Facebook,An Inference-Based Policy Gradient Method for Learning Options
4,Nataly Brukhim,Female,Tel Aviv University,Amir Globerson,Male,"Tel Aviv University, Google",Predict and Constrain: Modeling Cardinality in Deep Structured Prediction
5,Prateek Jain,Male,Microsoft Research,Abhradeep Thakurta,Male,UCSC,Differentially Private Matrix Completion Revisited
6,Thomas Miconi,Male,Uber AI Labs,Jeff Clune,Male,Uber AI Labs,Differentiable plasticity: training plastic neural networks with backpropagation
7,Yingce Xia,Male,University of Science and Technology of China,Tie-Yan Liu,Male,Microsoft,Model-Level Dual Learning
8,Kevin Tian,Male,Stanford University,James Zou,Male,Stanford University,CoVeR: Learning Covariate-Specific Vector Representations with Tensor Decompositions
9,Benjamin Paaßen,Male,Bielefeld University,CITEC Barbara Hammer,Female,"CITEC, Bielefeld University",Tree Edit Distance Learning via Adaptive Symbol Embeddings
10,Siyuan Qiao,,Johns Hopkins University,Alan Yuille,Male,Johns Hopkins University,Gradually Updated Neural Networks for Large-Scale Image Recognition
11,Claudio Michaelis,Male,Universty of Tübingen,Alexander Ecker,Male,University of Tübingen,One-Shot Segmentation in Clutter
12,Phuc Nguyen,Male,UC Irvine,Charless Fowlkes,Male,UC Irvine,Active Testing: An Efficient and Robust Framework for Estimating Accuracy
13,Furong Huang,Male,University of Maryland College Park,Robert Schapire,Male,Microsoft Research,Learning Deep ResNet Blocks Sequentially using Boosting Theory
14,JD Co-Reyes,Male,UC Berkeley,Sergey Levine,Male,Berkeley,Self-Consistent Trajectory Autoencoder: Hierarchical Reinforcement Learning with Trajectory Embeddings
15,Andrea Zanette,Male,Stanford University,Emma Brunskill,Female,Stanford University,Problem Dependent Reinforcement Learning Bounds Which Can Identify Bandit Structure in MDPs
16,Poorya Mianjy,Male,Johns Hopkins University,Raman Arora,Male,Johns Hopkins University,Stochastic PCA with $\ell_2$ and $\ell_1$ Regularization
17,Alexandr Andoni,Male,,Ruiqi Zhong,Male,Columbia University in the City of New York,Subspace Embedding and Linear Regression with Orlicz Norm
18,Sreejith Kallummil,Male,Qualcomm India Private Limited,Sheetal Kalyani,Female,IIT Madras,Signal and  Noise Statistics Oblivious Orthogonal Matching Pursuit
19,Eric Wong,Male,Carnegie Mellon University,Zico Kolter,Male,Carnegie Mellon University / Bosch Center for AI,Provable Defenses against Adversarial Examples via the Convex Outer Adversarial Polytope
20,Erik Talvitie,Male,Franklin & Marshall College,Erik Talvitie,Male,Franklin & Marshall College,Learning the Reward Function for a Misspecified Model
21,kyowoon Lee,Male,UNIST,Seong-Whan Lee,Male,Korea University,Deep Reinforcement Learning in Continuous Action Spaces: a Case Study in the Game of Simulated Curling
22,Mingda Qiao,Male,"IIIS, Tsinghua University",Mingda Qiao,Male,"IIIS, Tsinghua University",Do Outliers Ruin Collaboration?
23,Wenlong Mou,Male,UC Berkeley,Liwei Wang,Male,Peking University,"Dropout Training, Data-dependent Regularization, and Generalization Bounds"
24,IEMS Xingyu Wang,Male,"IEMS, Northwestern University",Diego Klabjan,Male,Northwestern University,Competitive Multi-agent Inverse Reinforcement Learning with Sub-optimal Demonstrations
25,Christos Kaplanis,Male,Imperial College London,Claudia Clopath,Female,Imperial College London,Continual Reinforcement Learning with Complex Synapses
26,Guillaume Pouliot,Male,University of Chicago,Guillaume Pouliot,Male,University of Chicago,Equivalence of Multicategory SVM and Simplex Cone SVM: Fast Computations and Statistical Theory
27,Heinrich Jiang,Male,Google,Samory Kpotufe,Male,Princeton University,Quickshift++: Provably Good Initializations for Sample-Based Mean Shift
28,Dimitris Kalimeris,Male,Harvard University,Udi Weinsberg,Male,Facebook,Learning Diffusion using Hyperparameters
29,Flavio Chierichetti,Male,Sapienza University,Andrew Tomkins,Male,Google,Learning a Mixture of Two Multinomial Logits
30,Matthäus Kleindessner,Male,Rutgers University,Pranjal Awasthi,Male,Rutgers University,Crowdsourcing with Arbitrary Adversaries
31,David Inouye,Male,Carnegie Mellon University,Pradeep Ravikumar,Male,Carnegie Mellon University,Deep Density Destructors
32,Abhinav Verma,Male,Rice University,Swarat Chaudhuri,Male,Rice University,Programmatically Interpretable Reinforcement Learning
33,Krzysztof Choromanski,Male,Google Brain Robotics,Adrian Weller,Male,"University of Cambridge, Alan Turing Institute",Structured Evolution with Compact Architectures for Scalable Policy Optimization
34,Yunlong Jiao,Male,University of Oxford,JP Vert,Male,ENS Paris,The Weighted Kendall and High-order Kernels for Permutations
35,Moein Falahatgar,Male,UC San Diego,Vaishakh Ravindrakumar,Male,UC San Diego,"The Limits of Maxing, Ranking, and Preference Learning"
36,Wesley Tansey,Male,Columbia University,Raul Rabadan,Male,Columbia University Medical Center,Black Box FDR
37,Mao Ye,Male,PURDUE UNIVERSITY,Yan Sun,Female,Purdue University,Variable Selection via Penalized Neural Network: a Drop-Out-One Loss Approach
38,Aravindan Vijayaraghavan,Male,Northwestern University,Pranjal Awasthi,Male,Rutgers University,Clustering Semi-Random Mixtures of Gaussians
39,Charlie Dickens,Male,Alan Turing Institute & University of Warwick,David Woodruff,Male,Carnegie Mellon University,Leveraging Well-Conditioned Bases: Streaming and Distributed Summaries in Minkowski $p$-Norms
40,Martin Riedmiller,Male,DeepMind,Jost Springenberg,Male,DeepMind,Learning by Playing - Solving Sparse Reward Tasks from Scratch
41,Mario Srouji,Male,Stanford University,Russ Salakhutdinov,Male,Carnegie Mellen University,Structured Control Nets for Deep Reinforcement Learning
42,Yanan Sui,Male,Stanford,Yisong Yue,Male,Caltech,Stagewise Safe Bayesian Optimization with Gaussian Processes
43,Ricardo Baptista,Male,Massachusetts Institute of Technology,Matthias Poloczek,Male,University of Arizona,Bayesian Optimization of Combinatorial Structures
44,Jiaxuan You,Male,Stanford University,Jure Leskovec,Male,Stanford University,GraphRNN: Generating Realistic Graphs with Deep Auto-regressive Models
45,Sikun Yang,Male,TU Darmstadt,Heinz Koeppl,Male,TU Darmstadt,Dependent Relational Gamma Process Models for Longitudinal Networks
46,Kaushik Sinha,Male,Wichita State University,Kaushik Sinha,Male,Wichita State University,K-means clustering using random matrix sparsification
47,Vaggos Chatziafratis,Male,Stanford University,Moses Charikar,Male,Stanford University,Hierarchical Clustering with Structural Constraints
48,Cijo Jose,Male,Idiap Research Institute,Francois Fleuret,Male,Idiap research institute,Kronecker Recurrent Units
49,Konstantinos Kamnitsas,Male,Imperial College London,Aditya Nori,Male,Microsoft Research Cambridge,Semi-Supervised Learning via Compact Latent Space Clustering
50,Ben Krause,Male,University of Edinburgh,Steve Renals,Male,University of Edinburgh,Dynamic Evaluation of Neural Sequence Models
51,Kyriacos Shiarlis,Male,Latent Logic LTD,Ingmar Posner,Male,University of Oxford,TACO: Learning Task Decomposition via Temporal Alignment for Control
52,Jiaxin Shi,Male,Tsinghua University,Jun Zhu,Male,Tsinghua University,A Spectral Approach to Gradient Estimation for Implicit Distributions
53,Alexander Buchholz,Male,ENSAE-CREST Paris,Stephan Mandt,Male,UC Irvine,Quasi-Monte Carlo Variational Inference
54,Nir Rosenfeld,Male,Harvard University,Yaron Singer,Male,Harvard,Learning to Optimize Combinatorial Functions
55,Shipra Agarwal,Female,Columbia,Vahab Mirrokni,Male,Google Research,"Proportional Allocation: Simple, Distributed, and Diverse Matching with High Entropy"
56,Keyulu Xu,Male,MIT,Stefanie Jegelka,Female,MIT,Representation Learning on Graphs with Jumping Knowledge Networks
